vocab,type,meaning,weight
background,n,背景,0
backpack,n,背包,0
badge,n,徽章、標記,0
balance,"v,n",平衡,0
ban,"v,n",禁止,0
bare,adj,赤裸的,0
barrel,n,桶,0
barren,adj,貧瘠的,1
barrier,n,障礙、屏障,1
basis,n,基礎、原因,0
bias,n,偏見、偏差,0
batter,v,擊毀,0
battered,adj,破舊的,1
beam,v,眉開眼笑,0
behave,v,表現、舉止得宜,0
behavior,n,行為、舉止,0
being,n,剩餘,0
belief,n,看法、信念、信心,0
belongings,n,財產,0
beneficial,adj,有利的、有幫助的,1
benefit,n,利益、優勢,0
benefit,v,使受益、使得利,1
besides,"adv,prep",此外、而且,0
betray,v,出賣、背叛,0
billion,n,十億,0
bizarre,adj,古怪的,1
blame,"v,n",責怪,0
blur,v,使模糊不清,0
blur,n,模糊不清的事物,0
bold,adj,勇敢的、無畏的,1
boom,v,迅速發展、繁榮、發出轟隆聲,1
boom,n,繁榮、興盛,0
boost,"v,n",改善、促進,1
bounce,v,彈跳,0
bound,adj,準備前往、肯定會,1
brain,n,頭腦,0
breath,n,呼吸、氣息,1
breathe,v,呼吸,1
breathing,n,呼吸,0
bribe,"v,n",賄賂、收買,0
bride,n,新娘,0
bridge,n,橋,0
brilliant,adj,非常成功的、傑出的,0
brood,v,沉思、憂慮,1
bruise,v,打擊、使受瘀傷,1
bruise,n,瘀傷,0
brutal,adj,殘暴的、兇殘的,1
bubble,v,強烈感受到、冒泡,0
bubble,n,泡沫、氣泡,0
budget,n,預算,1
budget,v,規劃時間、規劃預算,0
bulb,n,電燈泡,0
bully,v,霸凌,0
bully,n,霸凌者,0
burden,n,負擔、重擔,0
burden,v,使負擔、使煩惱,1
broaden,v,拓寬,1
burst,v,充滿、漲破、裂開,0
burst,n,情感爆發、想法突發,0
